Chr	Start	End	Length	Midpoint	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300	NormHpChr
1	6329	6760	431	6544.5	55.8816515102102	68.0800775060824	123.961729016293	7.52095	116.440779016293	87.6529610342355	96.0504542931746	183.70341532741	17.99095	165.71246532741	208.496646776754	234.982135685622	11627.3705075237
1	9191	9576	385	9383.5	28.3062885178688	26.2646172182153	54.5709057360841	6.71825	47.8526557360841	44.1839430004941	44.3440485917336	88.5279915922277	17.18825	71.3397415922277	85.6840562612511	101.160554249682	4778.39948094623
1	11130	11243	113	11186.5	7.03774577356543	6.49352676824048	13.5312725418059	1.97185	11.5594225418059	16.3199699292538	13.7055786289579	30.0255485582118	12.44185	17.5836985582118	20.6980823986494	24.9338819037975	1154.28366146358
1	28177	28865	688	28521	95.2552265220713	150.683162187526	245.938388709597	12.0056	233.932788709597	128.872800521714	163.950725520026	292.82352604174	22.4756	270.34792604174	418.875607232594	383.356393340428	23359.7132479176
1	29827	30075	248	29951	18.0514303956625	21.9103651581541	39.9617955538166	4.3276	35.6341955538166	38.5895476319002	32.4658337783403	71.0553814102404	14.7976	56.2577814102404	63.8059135839197	79.774165441292	3558.30661682368
1	31066	31177	111	31121.5	2.11887399574145	4.32525104728211	6.44412504302356	1.93695	4.50717504302356	9.00041431426873	22.7394941131612	31.73990842743	12.40695	19.33295842743	8.07046200519487	27.4143520309296	450.070796590651
1	32971	33197	226	33084	46.8101347128863	38.7323526189645	85.5424873318508	3.9437	81.5987873318508	77.2577980122735	56.0675580024739	133.325356014747	14.4137	118.911656014747	146.10923839113	168.618062817737	8148.17060902094
1	34454	35111	657	34782.5	181.663044073157	161.914254401975	343.577298475132	11.46465	332.112648475132	223.557807130451	192.697829432138	416.25563656259	21.93465	394.32098656259	594.674598917986	559.151584553804	33163.6119809452
1	36394	36567	173	36480.5	16.8461883059572	25.8913041813028	42.73749248726	3.01885	39.71864248726	36.3978710937338	43.2799114297228	79.6777825234566	13.48885	66.1889325234566	71.1194466670451	93.8566491807585	3966.16525719588
1	37240	37445	205	37342.5	20.2673077789756	19.3781767285633	39.6454845075389	3.57725	36.0682345075389	40.5726168850412	40.3828102565762	80.9554271416174	14.04725	66.9081771416174	64.583095488628	94.8765461216549	3601.64823453066
1	39003	39222	219	39112.5	36.2638664139956	34.7081120836317	70.9719784976272	3.82155	67.1504284976272	75.9617527515217	57.8955218389926	133.857274590514	14.29155	119.565724590514	120.238281550989	169.545539399025	6705.40783458378
1	42596	42658	62	42627	7.0088447642786	6.391323199067	13.4001679633456	1.0819	12.3182679633456	30.0214484150257	29.6714361918289	59.6928846068546	11.5519	48.1409846068546	22.0568565939919	68.264456476324	1230.0593214061
1	45159	45276	117	45217.5	10.7166742498415	6.48352641900629	17.2002006688477	2.04165	15.1585506688477	32.4218322417098	37.3837055212408	69.8055377629506	12.51165	57.2938877629506	27.1426128470683	81.2433758780339	1513.68005670163
1	45499	45719	220	45609	19.5094813140083	28.6079990542645	48.1174803682728	3.839	44.2784803682728	60.222903116267	42.8720971879523	103.095000304219	14.309	88.7860003042193	79.2842057494603	125.899544909002	4421.49478130838
