Chr	Start	End	Length	Midpoint	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300	NormHpChr
1	337	619	282	478	1.18120924886842	0.87880688105788	2.0600161299263	0.479964	1.5800521299263	3.26142553696196	1.20150940781867	4.46293494478063	1.501164	2.96177094478062	1.65391701976576	3.04716546938845	110.882234788436
1	939	1335	396	1137	0.789506181833405	0.17860139844895	0.968107580282355	0.673992	0.294115580282355	2.40291881485432	1.41461107640473	3.81752989125905	1.695192	2.12233789125905	0.307865009510769	2.18352967099497	20.6399473853601
1	2398	2684	286	2541	5.47984290716997	20.9172637821754	26.3971066893454	0.486772	25.9103346893454	7.08735549399353	22.3663751287173	29.4537306227108	1.507972	27.9457586227108	27.1216010654879	28.7514977621932	1818.29178927467
1	6314	6561	247	6437.5	26.7542094854603	41.4635246593982	68.2177341448585	0.420394	67.7973401448585	29.1856285234714	45.9264596041788	75.1120881276502	1.441594	73.6704941276502	70.9667564991417	75.7945803385506	4757.76744677675
1	9188	9594	406	9391	78.3568135338501	67.410827826782	145.767641360632	0.691012	145.076629360632	81.8313407393981	72.5333679362711	154.364708675669	1.712212	152.652496675669	151.858727902218	157.053811843808	10180.9431311806
1	11116	11245	129	11180.5	4.46293494478063	4.54063555317639	9.00357049795701	0.219558	8.78401249795701	6.52295107470693	5.81114550126929	12.3340965759762	1.240758	11.0933385759762	9.19465092134898	11.4131845031835	616.429621362209
1	12444	12901	457	12672.5	2.76022161253523	1.59321247485368	4.35343408738891	0.777814	3.57562008738891	2.84952231175971	2.4172189268242	5.26674123858391	1.799014	3.46772723858391	3.74277456214353	3.56770962227577	250.92383886258
1	20574	21014	440	20794	11.0323863835854	56.3908415402894	67.4232279238748	0.74888	66.6743479238748	11.0323863835854	56.6242433678257	67.6566297514111	1.77008	65.8865497514111	69.7912662022259	67.7862073208077	4678.95999178569
1	24185	24239	54	24212	0.535904196129857	4.54633559780774	5.0822397939376	0.091908	4.9903317939376	1.93021511358434	5.87164597498799	7.80186108857234	1.113108	6.68875308857234	5.22362176028747	6.8816048994878	350.203092143164
1	26911	27503	592	27207	2.32781822681672	2.00521570083894	4.33303392765566	1.007584	3.32544992765566	2.59572032449015	3.11742440943313	5.71314473392328	2.028784	3.68436073392328	3.48090935074722	3.79058914902457	233.36781911917
1	28152	28936	784	28544	39.1268063628939	36.1562831036968	75.2830894665907	1.334368	73.9487214665907	40.0056132439518	36.3896849312331	76.3952981751848	2.355568	74.0397301751848	77.4057049808963	76.174462292651	5189.44871543294
